SEC_ID|NCT_ID|SECONDARY_ID
542|NCT00000584|R01HL029883-04
543|NCT00000588|R01HL042814
544|NCT00000599|P01HL023619
545|NCT00000600|U01 HL52073
546|NCT00000620|N01HC95178
547|NCT00000620|N01HC95179
548|NCT00000620|N01HC95180
549|NCT00000620|N01HC95181
550|NCT00000620|N01HC95182
551|NCT00000620|N01HC95183
552|NCT00000620|N01HC95184
553|NCT00000620|IAA#Y1HC9035
554|NCT00000620|IAA#Y1HC1010
555|NCT00000622|U10 HL64287
556|NCT00000622|U10 HL64288
557|NCT00000622|U10 HL64295
558|NCT00000622|U10 HL64305
559|NCT00000622|U10 HL64307
560|NCT00000622|U10 HL64313
561|NCT00000623|U01HL065232
562|NCT00000623|U01 HL65233
563|NCT00000623|U01 HL65238
564|NCT00000623|U01 HL65239
565|NCT00000623|U01 HL65244
566|NCT00000623|U01 HL65260
567|NCT00000625|11150
568|NCT00000626|11124
569|NCT00000627|R-0245
570|NCT00000627|11149
571|NCT00000628|Merck Protocol 020-00
572|NCT00000630|10538
573|NCT00000631|10539
574|NCT00000632|10548
575|NCT00000633|11182
576|NCT00000633|AVEG 101
577|NCT00000634|00853
578|NCT00000635|11147
579|NCT00000636|TB/PPD+
580|NCT00000636|ACTG 177
581|NCT00000636|11556
582|NCT00000637|11127
583|NCT00000638|CPCRA 004
584|NCT00000638|TB/PPD+
585|NCT00000638|11152
586|NCT00000639|FDA 235A
587|NCT00000639|MSG Study 17
395|NCT00000388|MH50467
396|NCT00000388|MH50440
397|NCT00000388|DSIR CT
398|NCT00000389|N01 MH60016
399|NCT00000389|DSIR CT
400|NCT00000392|N01MH20004
401|NCT00000392|N01MH20007
402|NCT00000394|R01AR045894
403|NCT00000394|NIAMS-003
404|NCT00000395|R29AR042674
405|NCT00000395|NIAMS-035
406|NCT00000396|P60AR020557
407|NCT00000396|NIAMS-016
408|NCT00000397|R21AR046094
409|NCT00000397|NIAMS-039
410|NCT00000398|R01AR044064
411|NCT00000398|NIAMS-032
412|NCT00000399|R01AR039559
413|NCT00000399|NIAMS-006
414|NCT00000400|P50AR044855
415|NCT00000401|R01AR045255
416|NCT00000401|NIAMS-037
417|NCT00000402|R01AR040736
418|NCT00000402|NIAMS-007
419|NCT00000403|R01AR043348
161|NCT00000210|R18-06116-1
162|NCT00000211|R18-06116-2
163|NCT00000212|R01DA006234
164|NCT00000212|R01-06234-1
165|NCT00000213|R01DA006234
166|NCT00000213|R01-06234-2
167|NCT00000214|R01DA006234
168|NCT00000214|R01-06234-3
169|NCT00000215|R01-06234-4
170|NCT00000216|R01-06266-1
171|NCT00000217|R18DA006954
172|NCT00000217|R18-06954-1
173|NCT00000218|R18-06954-2
174|NCT00000219|R01-06969-1
175|NCT00000220|R01-06969-2
176|NCT00000221|R01-06969-3
177|NCT00000222|R01-06969-4
178|NCT00000223|R01-06969-5
179|NCT00000224|R01-06969-6
180|NCT00000225|R01-06969-7
181|NCT00000226|R01-06969-8
182|NCT00000227|R01-06969-9
183|NCT00000228|R01-06969-10
184|NCT00000229|R01-06969-11
185|NCT00000230|R01-06969-12
186|NCT00000231|R01-06969-13
187|NCT00000232|R01-06969-14
188|NCT00000233|R01-06969-15
189|NCT00000234|R01-06969-16
190|NCT00000235|R01-06969-17
191|NCT00000236|R01-06969-18
192|NCT00000237|R01-06969-19
452|NCT00000423|NIAMS-029
453|NCT00000424|NIAMS-001
454|NCT00000425|P01AR043584
455|NCT00000425|NIAMS-033
456|NCT00000426|R01AR042155
457|NCT00000426|NIAMS-005
458|NCT00000427|P50AR044855
459|NCT00000427|NIAMS-015
460|NCT00000428|R01AR045416
461|NCT00000428|NIAMS-038
462|NCT00000429|P60AR044059
463|NCT00000429|NIAMS-020
464|NCT00000430|NIAMS-040
465|NCT00000431|N01AR092238-000
466|NCT00000431|NIAMS-044
467|NCT00000432|P60AR036308
468|NCT00000433|NIAMS-043
469|NCT00000434|NIAMS-050
470|NCT00000435|NIAMS-042
471|NCT00000436|NIAMS-013
472|NCT00000437|R01AA011210
473|NCT00000438|R01AA011855
474|NCT00000442|P50AA003510
475|NCT00000444|R01AA011124
476|NCT00000447|R01AA011216
477|NCT00000447|NIH Grant 5R01AA011216-04
478|NCT00000448|R01AA010225
616|NCT00000664|FDA 70A
617|NCT00000665|FDA 46A
618|NCT00000665|FDA/00095
619|NCT00000667|11123
620|NCT00000668|ICM 1505
621|NCT00000668|FDA 37A
622|NCT00000668|RS-21592
623|NCT00000668|11102
624|NCT00000669|070V1
625|NCT00000669|AI454-003
626|NCT00000670|11082
627|NCT00000671|070V1
628|NCT00000671|AI454-009
629|NCT00000672|070V1
630|NCT00000672|AI454-007
631|NCT00000673|11060
632|NCT00000674|11052
633|NCT00000674|ACTG 077 PILOT
634|NCT00000675|DO136g
635|NCT00000676|11504
636|NCT00000677|C89-258
637|NCT00000678|N3492B
638|NCT00000679|Protocol Number: N3300A
639|NCT00000679|FDA 31A
640|NCT00000679|Study Number: 3-27
641|NCT00000680|11055
642|NCT00000681|11069
643|NCT00000682|11087
644|NCT00000683|10537
645|NCT00000684|11080
420|NCT00000403|NIAMS-027
421|NCT00000404|P60AR020582
422|NCT00000404|NIAMS-021
423|NCT00000405|R01AR045655
424|NCT00000405|NIAMS-009
425|NCT00000406|P60AR020582
426|NCT00000406|NIAMS-022
427|NCT00000407|P60AR020614
428|NCT00000407|NIAMS-024
429|NCT00000407|Sub: EEHSR3
430|NCT00000408|R01AR044939
431|NCT00000409|U01AR045444
432|NCT00000410|U01AR045444
433|NCT00000411|U01AR045444
434|NCT00000412|R01AR046124
435|NCT00000412|NIAMS-008
436|NCT00000413|NIAMS-018
437|NCT00000414|P01AR043584
438|NCT00000415|R01AR045310
439|NCT00000415|NIAMS-010
440|NCT00000416|P60AR020613
441|NCT00000416|NIAMS-012
442|NCT00000416|EEHRS Project 3
443|NCT00000417|P60AR036308
444|NCT00000418|P60AR020582
445|NCT00000418|NIAMS-025
729|NCT00000767|10561
730|NCT00000767|AVEG 014A/B
731|NCT00000768|11158
732|NCT00000769|11201
733|NCT00000770|11218
734|NCT00000771|11167
735|NCT00000772|11208
736|NCT00000773|11204
737|NCT00000774|11207
738|NCT00000776|11178
739|NCT00000777|VEU 102
740|NCT00000777|11211
741|NCT00000779|11191
742|NCT00000781|11169
743|NCT00000782|11198
744|NCT00000784|11564
745|NCT00000785|11568
746|NCT00000788|11580
747|NCT00000789|11217
748|NCT00000790|11228
749|NCT00000791|11236
750|NCT00000792|11235
751|NCT00000793|11219
752|NCT00000794|ANRS 039
753|NCT00000794|11214
754|NCT00000796|CPCRA 026
755|NCT00000796|11215
756|NCT00000799|GS-93-105
757|NCT00000799|FDA 231A
758|NCT00000800|11239
759|NCT00000801|ECOG E 1493
760|NCT00000802|CPCRA 034
761|NCT00000802|11253
762|NCT00000803|11238
763|NCT00000805|11203
764|NCT00000807|11245
765|NCT00000808|11227
766|NCT00000809|11255
767|NCT00000870|10689
768|NCT00000870|Substudy ACTG 872
769|NCT00000870|Substudy ACTG 873
770|NCT00000870|Substudy ACTG 874
771|NCT00000870|Substudy ACTG A5033s
772|NCT00000870|Substudy ACTG A5094s
773|NCT00000871|HIVNET 014
774|NCT00000871|10589
775|NCT00000871|AVEG 202
776|NCT00000872|10605
777|NCT00000872|PACTG 356
778|NCT00000873|PACTG 247
779|NCT00000873|ACTG 844 Substudy
780|NCT00000873|11224
781|NCT00000874|11598
782|NCT00000876|10699
783|NCT00000876|ACTG 351
784|NCT00000877|11328
785|NCT00000878|11304
786|NCT00000878|PACTG 332
787|NCT00000879|PACTG 326
788|NCT00000879|10601
789|NCT00000880|11306
790|NCT00000881|11321
791|NCT00000882|11332
792|NCT00000884|10577
793|NCT00000885|11333
794|NCT00000885|ACTG 701
795|NCT00000885|ACTG 702
796|NCT00000885|ACTG 706
797|NCT00000886|10570
798|NCT00000887|10603
799|NCT00000887|PACTG 353
800|NCT00000888|10604
801|NCT00000888|PACTG 354
802|NCT00000889|10467
803|NCT00000889|SQ 1 ARG
804|NCT00000889|SQIL-2 Argentina
805|NCT00000891|Substudy ACTG A5002s
806|NCT00000891|11336
807|NCT00000892|11324
808|NCT00000893|10105
809|NCT00000893|PACTG 382
810|NCT00000895|11312
811|NCT00001159|77-DK-0002
812|NCT00001160|77-DK-0096
446|NCT00000419|U01AR042540
447|NCT00000420|U01AR042540
448|NCT00000421|R01AR044690
449|NCT00000422|R01AR044724
450|NCT00000422|NIAMS-036
451|NCT00000423|R01AR044020
679|NCT00000715|11015
680|NCT00000716|NCI-T88-0191N
681|NCT00000716|Protocol 26,341--08
682|NCT00000716|Project P53
683|NCT00000716|FDA 9C
684|NCT00000717|11019
685|NCT00000718|11021
686|NCT00000719|11024
687|NCT00000720|11025
688|NCT00000721|11040
689|NCT00000721|066 Extension
690|NCT00000722|11016
691|NCT00000723|10985
692|NCT00000725|10989
693|NCT00000726|FDA 20D
694|NCT00000726|10991
695|NCT00000727|10997
696|NCT00000728|11000
697|NCT00000729|11004
698|NCT00000730|11006
699|NCT00000731|11008
700|NCT00000732|11009
701|NCT00000733|11011
702|NCT00000734|11013
703|NCT00000735|11028
704|NCT00000736|10995
705|NCT00000738|11137
706|NCT00000739|11154
707|NCT00000740|11148
708|NCT00000742|11175
709|NCT00000743|11177
710|NCT00000744|11562
711|NCT00000745|10540
712|NCT00000746|AVEG Protocol 008
713|NCT00000746|10553
714|NCT00000747|BI 00947
715|NCT00000748|11558
716|NCT00000750|11157
717|NCT00000753|11162
718|NCT00000754|11173
719|NCT00000755|11186
720|NCT00000756|11736
721|NCT00000757|10541
722|NCT00000758|11176
723|NCT00000760|NV14224A
724|NCT00000761|11188
725|NCT00000762|11195
726|NCT00000763|11192
727|NCT00000764|11193
728|NCT00000765|11733
588|NCT00000639|11134
589|NCT00000640|11083
590|NCT00000641|11110
591|NCT00000642|D0190g
592|NCT00000643|11129
593|NCT00000645|11125
594|NCT00000646|11135
595|NCT00000647|11723
596|NCT00000647|90 I-0076
597|NCT00000647|NIAID 90 CC-IRP011
598|NCT00000649|00834
599|NCT00000650|11141
600|NCT00000651|11130
601|NCT00000652|NCI 91 C-09
602|NCT00000653|11113
603|NCT00000654|R90-001-01, 02, 03, 04
604|NCT00000655|NIAID 90-CC-185
605|NCT00000655|Protocol #03
606|NCT00000655|FDA 53A
607|NCT00000655|Project P71
608|NCT00000656|11118
609|NCT00000657|11115
610|NCT00000658|11117
611|NCT00000659|C89-013-P
612|NCT00000660|11085
613|NCT00000662|FDA 43A
614|NCT00000663|D0172g
615|NCT00000664|CS-PG89-36
897|NCT00000923|Substudy ACTG A5053s
898|NCT00000923|Substudy ACTG A5054s
899|NCT00000923|Substudy ACTG A5094s
900|NCT00000923|AACTG A5051
901|NCT00000923|ACTG A5051
902|NCT00000924|11358
903|NCT00000924|P1001S (substudy)
904|NCT00000924|P1004S (substudy)
905|NCT00000924|PACTG 403
906|NCT00000925|11349
646|NCT00000685|NSC 602670
647|NCT00000685|11063
648|NCT00000686|AI455-004
649|NCT00000687|11071
650|NCT00000688|RS-21592
651|NCT00000688|ICM 1697
652|NCT00000689|11048
653|NCT00000690|11053
654|NCT00000691|11068
655|NCT00000693|11044
656|NCT00000694|11065
657|NCT00000695|11031
658|NCT00000696|11042
659|NCT00000697|11067
660|NCT00000700|10978
661|NCT00000701|Protocol 26,541-004
662|NCT00000701|Project p53
663|NCT00000701|10979
664|NCT00000702|10981
665|NCT00000703|10984
666|NCT00000704|10988
667|NCT00000705|10993
668|NCT00000706|11003
669|NCT00000707|11022
670|NCT00000708|Protocol 159
671|NCT00000708|Project 056
672|NCT00000708|Investigator 556
673|NCT00000709|11035
674|NCT00000710|11038
675|NCT00000711|11039
676|NCT00000712|11037
677|NCT00000713|11014
678|NCT00000714|11744
939|NCT00000952|PACTG 345
940|NCT00000953|Protocol -38/-022
941|NCT00000954|11138
942|NCT00000955|11560
943|NCT00000956|10542
944|NCT00000957|10545
945|NCT00000958|11546
946|NCT00000958|AVEG 103A
947|NCT00000958|AVEG 103B
948|NCT00000959|11557
949|NCT00000960|11050
950|NCT00000962|00744
951|NCT00000963|11119
952|NCT00000964|11111
953|NCT00000967|11128
954|NCT00000968|10543
955|NCT00000969|11554
956|NCT00000970|11126
957|NCT00000971|NCI 91 C-53
958|NCT00000972|10546
959|NCT00000972|10547
960|NCT00000973|11077
961|NCT00000974|11090
962|NCT00000975|11095
963|NCT00000976|D0156g
964|NCT00000977|11112
965|NCT00000978|Protocol N3447
966|NCT00000979|070V1
967|NCT00000979|ACTG 116-A
968|NCT00000979|ACTG 116-B/117
969|NCT00000979|AI454-008
970|NCT00000980|FDA 28A
971|NCT00000980|CCB-301
972|NCT00000981|R89-001-01, 02, 03, 04
973|NCT00000982|NCI 89 C-102C
974|NCT00000983|11103
975|NCT00000984|CO102G
976|NCT00000985|11070
977|NCT00000986|11041
978|NCT00000987|11049
979|NCT00000988|AI455-002
980|NCT00000988|070V3
981|NCT00000989|11047
982|NCT00000990|11026
983|NCT00000991|11056
984|NCT00000992|11059
985|NCT00000994|10977
986|NCT00000995|10980
987|NCT00000996|10982
988|NCT00000997|10987
989|NCT00000998|10994
990|NCT00000999|10996
991|NCT00001000|11030
992|NCT00001001|11036
993|NCT00001002|11027
994|NCT00001003|11054
995|NCT00001004|11001
996|NCT00001005|11017
997|NCT00001006|11020
998|NCT00001007|FDA 9D
999|NCT00001009|11034
1000|NCT00001010|10986
1001|NCT00001011|10992
1002|NCT00001013|11005
1003|NCT00001014|11007
1004|NCT00001015|11010
1005|NCT00001017|056-158
1006|NCT00001017|FDA 12E
1007|NCT00001018|Protocol JRD 65731/1001
813|NCT00001161|77-EI-0119
814|NCT00001162|77-I-0094
