REMOVED_COUNTRIES_ID|COUNTRY|NCT_ID
395|Puerto Rico|NCT00001065
396|Puerto Rico|NCT00001067
397|Puerto Rico|NCT00001068
398|Puerto Rico|NCT00001073
399|United States|NCT00001080
400|Puerto Rico|NCT00001081
401|Puerto Rico|NCT00001087
402|Puerto Rico|NCT00001110
403|Puerto Rico|NCT00001114
404|Puerto Rico|NCT00001125
405|Puerto Rico|NCT00001133
406|Canada|NCT00001203
407|Brazil|NCT00001245
408|Germany|NCT00001303
409|Japan|NCT00001303
410|Switzerland|NCT00001303
411|Belgium|NCT00001316
412|Canada|NCT00001345
159|Netherlands|NCT00006760
160|New Zealand|NCT00006760
161|New Zealand|NCT00003641
162|Puerto Rico|NCT00003641
163|Switzerland|NCT00003641
164|United States|NCT00003653
165|United Kingdom|NCT00003653
166|Canada|NCT00003702
167|Japan|NCT00003702
168|South Africa|NCT00003702
169|Netherlands|NCT00003793
170|New Zealand|NCT00003793
171|Puerto Rico|NCT00003793
172|Switzerland|NCT00003793
173|Canada|NCT00003835
174|Puerto Rico|NCT00003835
175|South Africa|NCT00003835
176|Canada|NCT00003869
177|Puerto Rico|NCT00003873
178|United States|NCT00003880
179|Australia|NCT00003909
180|Canada|NCT00003909
181|Australia|NCT00003934
182|Canada|NCT00003934
183|Netherlands|NCT00003934
184|New Zealand|NCT00003934
185|Peru|NCT00003934
186|Puerto Rico|NCT00003934
187|Switzerland|NCT00003934
188|Australia|NCT00003958
189|Canada|NCT00003958
190|Netherlands|NCT00003958
445|Italy|NCT00041496
446|Latvia|NCT00041496
447|Netherlands|NCT00041496
448|New Zealand|NCT00041496
449|Spain|NCT00041496
450|Sweden|NCT00041496
451|United Kingdom|NCT00041496
452|United States|NCT00041509
453|Australia|NCT00041509
454|Canada|NCT00041509
455|United States|NCT00041665
456|United States|NCT00042029
457|Puerto Rico|NCT00042289
458|United States|NCT00042432
459|United States|NCT00042653
460|Puerto Rico|NCT00042770
461|Canada|NCT00042796
462|United States|NCT00042926
463|Canada|NCT00042926
599|Denmark|NCT00034684
600|France|NCT00034684
601|Singapore|NCT00035191
602|Slovakia|NCT00035191
603|Spain|NCT00035191
604|Sweden|NCT00035191
605|Switzerland|NCT00035191
606|United Kingdom|NCT00035191
607|Bulgaria|NCT00035230
608|Chile|NCT00035230
609|Colombia|NCT00035230
610|Mexico|NCT00035230
611|Romania|NCT00035230
612|South Africa|NCT00035230
613|United States|NCT00035282
614|United States|NCT00035295
615|United States|NCT00035360
616|Argentina|NCT00035360
617|Brazil|NCT00035360
618|Mexico|NCT00035360
619|Peru|NCT00035360
620|Puerto Rico|NCT00035360
621|Singapore|NCT00035360
622|South Africa|NCT00035360
623|Spain|NCT00035360
624|Puerto Rico|NCT00035425
625|United States|NCT00035594
626|United States|NCT00035607
627|United States|NCT00035620
628|Australia|NCT00035620
629|United States|NCT00036023
630|United States|NCT00036231
631|United States|NCT00036296
632|Canada|NCT00036296
633|United States|NCT00036374
634|United States|NCT00036387
635|United States|NCT00036439
413|United States|NCT00040014
414|United States|NCT00040131
415|Austria|NCT00040131
416|Belgium|NCT00040131
417|Chile|NCT00040131
418|France|NCT00040131
419|Italy|NCT00040131
420|United Kingdom|NCT00040131
421|Germany|NCT00040300
422|United States|NCT00040313
423|United States|NCT00040495
424|United States|NCT00040534
425|United States|NCT00040547
426|Canada|NCT00040547
427|United Kingdom|NCT00040664
428|Canada|NCT00040781
429|Canada|NCT00040911
707|Austria|NCT00039871
708|Belgium|NCT00039871
709|Brazil|NCT00039871
710|Canada|NCT00039871
711|Colombia|NCT00039871
712|France|NCT00039871
713|Germany|NCT00039871
714|Greece|NCT00039871
715|Italy|NCT00039871
716|Mexico|NCT00039871
717|Portugal|NCT00039871
718|Puerto Rico|NCT00039871
719|Spain|NCT00039871
720|Sweden|NCT00039871
721|Switzerland|NCT00039871
722|Taiwan|NCT00039871
723|United Kingdom|NCT00039871
724|Norway|NCT00039871
725|United States|NCT00043342
726|United States|NCT00043407
727|United States|NCT00043420
728|United States|NCT00043732
729|France|NCT00043875
730|Hungary|NCT00043875
731|Italy|NCT00043875
732|Lithuania|NCT00043875
733|Portugal|NCT00043875
734|Slovakia|NCT00043875
735|Egypt|NCT00043875
736|United States|NCT00044278
737|Argentina|NCT00044278
738|Australia|NCT00044278
739|Estonia|NCT00044278
740|France|NCT00044278
741|Hungary|NCT00044278
742|Italy|NCT00044278
743|Latvia|NCT00044278
744|Lithuania|NCT00044278
745|Puerto Rico|NCT00044278
746|Slovakia|NCT00044278
747|Egypt|NCT00044278
748|United States|NCT00044473
749|Argentina|NCT00044473
750|Costa Rica|NCT00044473
751|Israel|NCT00044473
752|United States|NCT00044486
753|Argentina|NCT00044486
754|Australia|NCT00044486
755|Austria|NCT00044486
756|Belgium|NCT00044486
757|Brazil|NCT00044486
758|Canada|NCT00044486
759|Chile|NCT00044486
760|Colombia|NCT00044486
761|Italy|NCT00034684
762|Sweden|NCT00034684
763|United Kingdom|NCT00034684
764|United States|NCT00034697
765|United Kingdom|NCT00034697
766|United States|NCT00034736
767|United States|NCT00034749
768|Belgium|NCT00034749
769|Bulgaria|NCT00034749
770|Czech Republic|NCT00034749
771|Estonia|NCT00034749
772|Germany|NCT00034749
773|Poland|NCT00034749
774|Switzerland|NCT00034749
775|United States|NCT00034762
776|United States|NCT00034775
777|United States|NCT00034788
778|United States|NCT00034814
779|United Kingdom|NCT00034814
780|Argentina|NCT00034853
781|United States|NCT00034944
782|United States|NCT00034983
783|United States|NCT00035009
784|United States|NCT00035048
785|United States|NCT00035191
786|Australia|NCT00035191
787|Belgium|NCT00035191
430|Puerto Rico|NCT00041119
431|United States|NCT00041132
432|Canada|NCT00041197
433|United States|NCT00041496
434|Argentina|NCT00041496
435|Australia|NCT00041496
436|Belgium|NCT00041496
437|Canada|NCT00041496
438|Denmark|NCT00041496
439|Estonia|NCT00041496
440|France|NCT00041496
441|Germany|NCT00041496
442|Greece|NCT00041496
443|Hong Kong|NCT00041496
444|Israel|NCT00041496
668|South Africa|NCT00037050
669|Spain|NCT00037050
670|Thailand|NCT00037050
671|Turkey|NCT00037050
672|Venezuela|NCT00037050
673|United States|NCT00037102
674|United States|NCT00037518
675|United States|NCT00037544
676|United States|NCT00037583
677|United States|NCT00037596
678|United States|NCT00037635
679|United States|NCT00037648
680|India|NCT00037674
681|United States|NCT00037700
682|United States|NCT00038064
683|Portugal|NCT00038103
684|United States|NCT00038298
685|Former Serbia and Montenegro|NCT00038467
686|Montenegro|NCT00038467
687|Puerto Rico|NCT00038480
688|South Africa|NCT00038506
689|United States|NCT00038896
690|Canada|NCT00038896
691|United States|NCT00038922
692|United States|NCT00038935
693|United States|NCT00038948
694|Poland|NCT00039338
695|Argentina|NCT00039338
696|Canada|NCT00039481
697|Bahamas|NCT00039741
698|Brazil|NCT00039741
699|Puerto Rico|NCT00039741
700|United States|NCT00039754
701|Russian Federation|NCT00039780
702|United States|NCT00039780
703|Ukraine|NCT00039780
704|United States|NCT00039871
705|Argentina|NCT00039871
706|Australia|NCT00039871
572|Brazil|NCT00034645
573|Canada|NCT00034645
574|Czech Republic|NCT00034645
575|Denmark|NCT00034645
576|Finland|NCT00034645
577|France|NCT00034645
578|Germany|NCT00034645
579|Greece|NCT00034645
580|Hungary|NCT00034645
581|Italy|NCT00034645
582|Mexico|NCT00034645
583|Netherlands|NCT00034645
584|Peru|NCT00034645
585|Poland|NCT00034645
586|Portugal|NCT00034645
587|Saudi Arabia|NCT00034645
588|Singapore|NCT00034645
589|South Africa|NCT00034645
590|Spain|NCT00034645
591|Sweden|NCT00034645
592|Switzerland|NCT00034645
593|United Kingdom|NCT00034645
594|United States|NCT00034658
595|United States|NCT00034671
596|Germany|NCT00034671
597|United States|NCT00034684
598|Canada|NCT00034684
869|South Africa|NCT00064350
870|Canada|NCT00064714
871|United States|NCT00065013
872|Italy|NCT00065507
873|Portugal|NCT00065507
874|United States|NCT00066092
875|Netherlands|NCT00066365
876|New Zealand|NCT00066365
877|Switzerland|NCT00066365
878|Netherlands|NCT00066469
879|Puerto Rico|NCT00066469
880|Switzerland|NCT00066469
881|Netherlands|NCT00066482
882|New Zealand|NCT00066482
883|Switzerland|NCT00066482
884|United States|NCT00066573
885|Australia|NCT00066573
886|Hungary|NCT00066573
887|Italy|NCT00066573
888|South Africa|NCT00066573
636|Belgium|NCT00036439
637|Australia|NCT00036764
638|Canada|NCT00036855
639|Former Serbia and Montenegro|NCT00036868
640|United States|NCT00036881
641|Canada|NCT00036881
642|United States|NCT00037050
643|Argentina|NCT00037050
644|Australia|NCT00037050
645|Austria|NCT00037050
646|Belgium|NCT00037050
647|Brazil|NCT00037050
648|Chile|NCT00037050
649|Colombia|NCT00037050
650|Czech Republic|NCT00037050
651|France|NCT00037050
652|Germany|NCT00037050
653|Greece|NCT00037050
654|Guatemala|NCT00037050
655|Hungary|NCT00037050
656|India|NCT00037050
657|Ireland|NCT00037050
658|Italy|NCT00037050
659|Mexico|NCT00037050
660|Pakistan|NCT00037050
661|Panama|NCT00037050
662|Peru|NCT00037050
663|Philippines|NCT00037050
664|Poland|NCT00037050
665|Portugal|NCT00037050
666|Russian Federation|NCT00037050
667|Slovakia|NCT00037050
920|Former Serbia and Montenegro|NCT00069108
921|Czech Republic|NCT00044486
922|Denmark|NCT00044486
923|Dominican Republic|NCT00044486
924|Ecuador|NCT00044486
925|France|NCT00044486
926|Germany|NCT00044486
927|Greece|NCT00044486
928|Guatemala|NCT00044486
929|Hungary|NCT00044486
930|Italy|NCT00044486
931|Mexico|NCT00044486
932|Netherlands|NCT00044486
933|Panama|NCT00044486
934|Peru|NCT00044486
935|Poland|NCT00044486
936|Portugal|NCT00044486
937|Puerto Rico|NCT00044486
938|Singapore|NCT00044486
939|South Africa|NCT00044486
940|Spain|NCT00044486
941|Sweden|NCT00044486
942|United Kingdom|NCT00044486
943|United States|NCT00044525
944|United States|NCT00044720
945|United States|NCT00044746
946|United States|NCT00044902
947|United States|NCT00044928
948|United States|NCT00046020
949|Puerto Rico|NCT00046436
950|South Africa|NCT00046930
951|Canada|NCT00047008
952|Ireland|NCT00047255
953|Netherlands|NCT00047320
954|Puerto Rico|NCT00047320
955|United States|NCT00047554
956|United States|NCT00047606
957|Brazil|NCT00047606
958|United States|NCT00048503
959|Belgium|NCT00048503
960|Canada|NCT00048503
961|France|NCT00048503
962|Germany|NCT00048503
963|Italy|NCT00048503
964|Russian Federation|NCT00048503
965|United States|NCT00048594
966|United States|NCT00048607
967|United States|NCT00048724
968|Argentina|NCT00048724
969|Australia|NCT00048724
970|Austria|NCT00048724
971|Belgium|NCT00048724
972|Brazil|NCT00048724
973|Canada|NCT00048724
974|Colombia|NCT00048724
975|France|NCT00048724
788|Canada|NCT00035191
789|Croatia|NCT00035191
790|Czech Republic|NCT00035191
791|France|NCT00035191
792|Germany|NCT00035191
793|Hong Kong|NCT00035191
794|Hungary|NCT00035191
795|Israel|NCT00035191
796|Italy|NCT00035191
797|Netherlands|NCT00035191
798|Norway|NCT00035191
799|Poland|NCT00035191
800|Portugal|NCT00035191
801|Canada|NCT00057330
802|Australia|NCT00057811
803|Canada|NCT00057811
804|Puerto Rico|NCT00057811
805|Switzerland|NCT00057811
806|Netherlands|NCT00057811
807|New Zealand|NCT00057811
808|Australia|NCT00057863
809|Peru|NCT00057941
810|South Africa|NCT00057941
811|United States|NCT00058318
812|Australia|NCT00058461
813|Canada|NCT00058461
814|Netherlands|NCT00058461
815|New Zealand|NCT00058461
816|Puerto Rico|NCT00058461
817|Switzerland|NCT00058461
818|United States|NCT00058474
819|Canada|NCT00058474
820|Puerto Rico|NCT00058474
821|United States|NCT00058526
822|Australia|NCT00058526
823|Belgium|NCT00058526
824|Italy|NCT00058526
825|United States|NCT00058539
826|Canada|NCT00058968
827|Croatia|NCT00058968
828|Germany|NCT00058968
829|Hungary|NCT00058968
830|Poland|NCT00058968
831|Puerto Rico|NCT00058968
832|Russian Federation|NCT00058968
833|Argentina|NCT00059306
834|Netherlands|NCT00059839
835|New Zealand|NCT00059839
836|Germany|NCT00060424
837|United States|NCT00060476
838|Puerto Rico|NCT00060476
839|United States|NCT00060502
840|United States|NCT00060515
841|United States|NCT00060632
842|Canada|NCT00060918
843|United States|NCT00061399
844|Netherlands|NCT00061893
845|New Zealand|NCT00061893
846|Switzerland|NCT00061893
847|Canada|NCT00061932
848|Former Serbia and Montenegro|NCT00062400
849|United States|NCT00062504
850|United States|NCT00062556
851|Puerto Rico|NCT00062673
852|United States|NCT00062686
853|Australia|NCT00062686
854|Belgium|NCT00062686
855|Canada|NCT00062686
856|Japan|NCT00062686
857|Greece|NCT00062686
858|Spain|NCT00062686
859|United States|NCT00062751
860|United States|NCT00063206
861|United States|NCT00063362
862|United States|NCT00063427
863|Germany|NCT00063479
864|United States|NCT00063869
865|Canada|NCT00063999
866|Australia|NCT00064350
867|Peru|NCT00064350
868|Puerto Rico|NCT00064350
1003|Netherlands|NCT00049569
1004|New Zealand|NCT00049569
1005|Puerto Rico|NCT00049569
1006|Switzerland|NCT00049569
1007|United States|NCT00049673
1008|United States|NCT00049777
1009|Argentina|NCT00049777
1010|Australia|NCT00049777
1011|Austria|NCT00049777
1012|Brazil|NCT00049777
1013|Canada|NCT00049777
1014|Denmark|NCT00049777
1015|France|NCT00049777
1016|Italy|NCT00049777
1017|Mexico|NCT00049777
1018|Norway|NCT00049777
1019|Spain|NCT00049777
1020|Sweden|NCT00049777
1021|United Kingdom|NCT00049777
1022|Netherlands|NCT00049777
1023|United States|NCT00049842
1024|Argentina|NCT00049842
1025|Australia|NCT00049842
1026|Austria|NCT00049842
1027|Belgium|NCT00049842
1028|Brazil|NCT00049842
1029|Canada|NCT00049842
1030|Colombia|NCT00049842
1031|France|NCT00049842
1032|Germany|NCT00049842
1033|Greece|NCT00049842
1034|Italy|NCT00049842
1035|Mexico|NCT00049842
1036|Portugal|NCT00049842
1037|Puerto Rico|NCT00049842
1038|Spain|NCT00049842
1039|Sweden|NCT00049842
1040|Switzerland|NCT00049842
1041|Taiwan|NCT00049842
1042|United Kingdom|NCT00049842
1043|Singapore|NCT00049842
1044|United States|NCT00049985
1045|Puerto Rico|NCT00050089
1046|United States|NCT00050154
