RSLTS_BASELINE_ID|NCT_ID|POPULATION
242|NCT00071032|Randomized subjects
243|NCT00071058|
244|NCT00071110|
245|NCT00071396|
246|NCT00071487|
247|NCT00071721|
248|NCT00071760|
249|NCT00071799|
250|NCT00071812|
251|NCT00071890|
252|NCT00071981|
253|NCT00072280|
254|NCT00072449|
255|NCT00072475|Of the 155 participants recruited, 2 participants cancelled prior to starting treatment; 7 were determined to have AML at registration and 4 had diagnosis other than MDS. Thus 142 participants were evaluable for response
256|NCT00073008|
257|NCT00073021|
258|NCT00073307|
259|NCT00073333|
260|NCT00073528|
261|NCT00073983|
262|NCT00074165|
263|NCT00074412|
264|NCT00074815|
265|NCT00074958|
266|NCT00074984|
267|NCT00075088|
268|NCT00075218|
269|NCT00075270|
270|NCT00075478|The randomization will be stratified on institution, disease risk (indolent vs. aggressive), and prior conventional HCT and will be balanced (blocked) over time.
271|NCT00075582|
272|NCT00075881|
273|NCT00076011|
274|NCT00076024|
275|NCT00076102|
276|NCT00076219|
277|NCT00076245|
278|NCT00076336|
279|NCT00076570|Baseline analysis was performed using the patients who finished study.
280|NCT00076687|
281|NCT00076752|
282|NCT00076804|
283|NCT00076999|
284|NCT00077207|
285|NCT00077376|
286|NCT00077675|
287|NCT00077857|
288|NCT00077922|
289|NCT00077974|
290|NCT00078286|
291|NCT00078312|
292|NCT00078325|
293|NCT00078377|
294|NCT00078403|
295|NCT00078559|
296|NCT00004143|
297|NCT00004228|
298|NCT00004500|
299|NCT00004547|
300|NCT00004562|
301|NCT00004635|
302|NCT00004732|
303|NCT00004859|
304|NCT00004888|
176|NCT00066573|
177|NCT00066742|
178|NCT00066963|
179|NCT00067236|
180|NCT00067470|
181|NCT00067808|
182|NCT00068237|All eligible patients who started study treatment.
183|NCT00068380|
184|NCT00068393|
185|NCT00109837|
186|NCT00109850|
187|NCT00109928|Peripheral T-cell lymphomas (PTCLs) with stage II bulky, III or IV with extra-nodal, nodal and transformed cutaneous presentations were eligible.
188|NCT00109967|
189|NCT00110019|
190|NCT00110084|
191|NCT00110214|
192|NCT00110305|
193|NCT00110357|
194|NCT00110396|
195|NCT00110461|
196|NCT00110513|
197|NCT00110617|
198|NCT00110812|
199|NCT00110890|
200|NCT00110994|
201|NCT00111007|
202|NCT00111657|
203|NCT00111761|
204|NCT00111813|
205|NCT00111917|
206|NCT00112047|
207|NCT00112112|
208|NCT00112294|
209|NCT00112359|
210|NCT00112385|
211|NCT00112437|
212|NCT00112489|Total eligible and treated participants
213|NCT00112840|
214|NCT00112905|
215|NCT00112918|Baseline Measures are based on the Intent-to-Treat - Stage III Disease Patient Population.
216|NCT00113022|
217|NCT00113087|
218|NCT00113217|
219|NCT00113230|
220|NCT00113269|
221|NCT00113295|Eligible participants were men or women aged 18 and older with a primary diagnosis of DSM-IV GAD.
222|NCT00113321|
223|NCT00113334|
224|NCT00113360|
225|NCT00113386|
226|NCT00113399|
227|NCT00113490|
69|NCT00046228|
70|NCT00046839|Eligible patients who started protocol treatment.
71|NCT00046930|
72|NCT00047008|Eligible patients who did not withdraw consent.
73|NCT00047320|
74|NCT00047385|
75|NCT00047463|
76|NCT00047879|
77|NCT00048347|
78|NCT00048542|
79|NCT00048568|
80|NCT00048581|
81|NCT00048724|
82|NCT00048737|
83|NCT00048893|
84|NCT00048932|
85|NCT00049036|
86|NCT00049257|
87|NCT00049517|
88|NCT00049530|The primary analysis population was all eligible (meeting all eligibility criteria listed in protocol) and treated patients (receiving at least one dose of the protocol therapy). All baseline analysis and efficacy endpoints are based on the primary population (n=29).
357|NCT00029107|
358|NCT00029146|
359|NCT00029172|
360|NCT00030901|
361|NCT00030992|
583|NCT00083122|
584|NCT00083174|
585|NCT00083616|
586|NCT00083720|
385|NCT00101192|Eligible and evaluable participants
386|NCT00101283|
387|NCT00101361|overall baseline participants were determined by number of participants that were eligible after screening based on a pressure ulcer that is defined as hard-to-heal or worsening at randomization.
388|NCT00101400|
389|NCT00101413|
390|NCT00101452|
391|NCT00101582|
392|NCT00101647|
393|NCT00101660|
394|NCT00101686|
395|NCT00101816|
396|NCT00101868|
397|NCT00101907|
398|NCT00101933|
399|NCT00102063|
400|NCT00102440|
401|NCT00102518|
402|NCT00102596|
403|NCT00102687|
404|NCT00103012|
405|NCT00103142|37 PANVAC-V + PANVAC-F + DC arm  patients and 37 PANVAC-V + PANVAC-F + GM-CSF arm.  One participant in PANVAC-V + PANVAC-F + DC Arm  was consented and contributed baseline data, but was not considered to have started or enrolled in the study patients signed consent.
406|NCT00103194|
407|NCT00103207|
408|NCT00103259|
409|NCT00103610|
410|NCT00103662|
411|NCT00103740|
412|NCT00103844|
413|NCT00103857|
414|NCT00104052|
415|NCT00104104|
416|NCT00104234|
417|NCT00104247|
418|NCT00104299|
419|NCT00104416|
420|NCT00104520|
421|NCT00104637|
422|NCT00104650|
423|NCT00104728|
424|NCT00104871|
425|NCT00105027|
426|NCT00105079|
427|NCT00105157|
428|NCT00105183|
429|NCT00105196|
430|NCT00105235|
431|NCT00105443|
432|NCT00105469|
433|NCT00105482|
434|NCT00105534|
435|NCT00105989|
436|NCT00106002|
437|NCT00106028|
438|NCT00106106|
439|NCT00106353|
440|NCT00106392|
441|NCT00106431|
442|NCT00106535|Baseline measures are based on the Intent-to-treat population that included all randomized participants who received study drug.
443|NCT00106626|
444|NCT00106639|
445|NCT00106704|
446|NCT00106964|
447|NCT00107042|
448|NCT00107120|
449|NCT00107276|
450|NCT00107315|All treated and eligible patients
451|NCT00107380|All eligible patients who started treatment were included in the analysis
452|NCT00107575|
453|NCT00107614|
454|NCT00107783|
455|NCT00107952|
456|NCT00107978|
457|NCT00107991|
458|NCT00108069|One participant in the AG cohort was not evaluable/did not receive study drug.
459|NCT00108082|
460|NCT00108160|
461|NCT00108342|
462|NCT00108355|
463|NCT00108433|
464|NCT00108524|160 participants were randomized (81 allocated to LCKD, 79 to Orlistat plus LFD). 14 did not receive the intervention.  33 discontinued the intervention. Out of the 146 participants analyzed, 113 completed the intervention.
465|NCT00108550|
466|NCT00108732|
467|NCT00108862|
468|NCT00108953|
469|NCT00109005|
470|NCT00109031|Primary Analysis Set (all randomized participants who signed informed consent before invasive, protocol-specified procedures).
471|NCT00109343|
472|NCT00109473|
473|NCT00109577|
474|NCT00109590|
475|NCT00109733|
476|NCT00109772|Safety population
477|NCT00097500|
478|NCT00097591|
479|NCT00097695|
480|NCT00097721|
481|NCT00097773|Intent to Treat
482|NCT00097786|
305|NCT00004978|
306|NCT00004980|
307|NCT00005669|
308|NCT00005906|
309|NCT00005908|
310|NCT00005947|
311|NCT00006011|Total number of eligible participants.
312|NCT00006151|
313|NCT00006156|
314|NCT00006164|
315|NCT00006170|
316|NCT00006178|
317|NCT00006184|
318|NCT00006237|
319|NCT00006305|
320|NCT00006392|
321|NCT00006409|
322|NCT00006478|
323|NCT00006721|
324|NCT00006903|Total number of eligible and treated participants by estrogen receptor status in metastatic tumor
325|NCT00006916|
326|NCT00007644|
327|NCT00008138|
328|NCT00010257|
329|NCT00010439|
330|NCT00010803|
331|NCT00013611|
332|NCT00014560|
333|NCT00014911|
334|NCT00015457|
335|NCT00015847|
336|NCT00016354|
337|NCT00017563|
338|NCT00019604|
339|NCT00019747|
340|NCT00021229|
341|NCT00021541|
342|NCT00022490|
343|NCT00022672|
344|NCT00023309|
345|NCT00023322|
346|NCT00023452|
347|NCT00023673|Eligible patients who started protocol treatment.
348|NCT00023712|Cohort 1: 2 participants were not eligible/evaluable after enrollment. Cohort 2: 1 participant was not eligible/evaluable after enrollment.
349|NCT00023764|
350|NCT00024102|
351|NCT00025662|
352|NCT00027378|
353|NCT00027560|
354|NCT00028002|
355|NCT00028093|
356|NCT00028769|
558|NCT00079937|
559|NCT00080119|
560|NCT00080288|
561|NCT00080301|
562|NCT00080470|
563|NCT00080483|
564|NCT00080535|
565|NCT00080938|
566|NCT00081289|All eligible patients enrolled after the protocol ammendment.
567|NCT00081458|84 subjects were initially randomized; however, one subject never received study therapy.  As a result, the total participant who started flow period is 83.
568|NCT00081497|
569|NCT00081653|
570|NCT00081731|
571|NCT00081770|
572|NCT00081861|
573|NCT00082017|
574|NCT00082173|125 had 8-week data (moxifloxacin n=64, ethambutol n=61)
575|NCT00082329|
576|NCT00082342|
577|NCT00082355|
578|NCT00082381|
579|NCT00082407|IIT population
580|NCT00082433|
581|NCT00082758|
582|NCT00082888|
509|NCT00160251|
510|NCT00160524|Baseline Characteristics refer to the Safety Population, including all enrolled subjects who received at least one injection of study treatment in feeder study C87031 [NCT00152490] or C87032 [NCT00152425].
511|NCT00160563|
512|NCT00160641|Baseline Characteristics refer to the Safety Set (SS). SS consists of all enrolled subjects who received at least 1 dose of study medication.
513|NCT00160693|
514|NCT00160706|Baseline Characteristics refer to the Safety Population, including all enrolled subjects who received at least one injection of study treatment in feeder study C87031 [NCT00152490] or C87032 [NCT00152425].
515|NCT00161213|
516|NCT00161382|
517|NCT00161473|
518|NCT00161616|
519|NCT00162032|
520|NCT00162097|
521|NCT00162123|All patients who were enrolled and passed screening in the current study
522|NCT00162136|
523|NCT00162266|
524|NCT00162942|
525|NCT00162981|
526|NCT00163020|
527|NCT00163215|
528|NCT00163293|
529|NCT00165646|
530|NCT00165672|
531|NCT00165698|
817|NCT00149643|
818|NCT00149747|
819|NCT00149825|
820|NCT00149890|
821|NCT00149994|
822|NCT00150176|
587|NCT00083759|
588|NCT00083889|
589|NCT00083915|
590|NCT00084084|
591|NCT00084136|
592|NCT00084266|
593|NCT00084383|
594|NCT00084409|
595|NCT00084487|One patient died prior to start of treatment and is not included on any data analysis.
596|NCT00085098|
597|NCT00085202|Participants had a diagnosis of medulloblastoma, supratentorial primitive neuroectodermal tumor (PNET), PNET variants (ependymoblastoma, pineoblastoma, CNS neuroblastoma), or atypical teratoid rhabdoid tumor (ATRT).
598|NCT00085293|Participants who received at least one dose of therapy.
599|NCT00085423|
600|NCT00085436|
601|NCT00085631|
602|NCT00085644|
603|NCT00085709|
604|NCT00085839|
605|NCT00085917|
606|NCT00086047|
607|NCT00086190|
608|NCT00086281|
609|NCT00086307|
610|NCT00086346|
611|NCT00086385|
612|NCT00086411|
613|NCT00086502|
614|NCT00086515|
615|NCT00086580|
616|NCT00086619|
617|NCT00086684|
618|NCT00086996|
619|NCT00087139|
620|NCT00087152|
621|NCT00087438|All eligible patients who received protocol treatment.
622|NCT00087490|
623|NCT00087516|
624|NCT00087555|
625|NCT00087633|
626|NCT00087672|
627|NCT00087698|
628|NCT00088153|
629|NCT00088166|
630|NCT00088218|
631|NCT00088374|
632|NCT00088465|
633|NCT00088595|
634|NCT00088621|
635|NCT00088634|
636|NCT00088972|
637|NCT00089076|
638|NCT00089141|
639|NCT00089297|
640|NCT00089479|
641|NCT00089505|
642|NCT00089544|All eligible patients who started treatment.
643|NCT00089583|
644|NCT00089609|
645|NCT00089635|
646|NCT00089648|
647|NCT00089661|
648|NCT00089674|
649|NCT00089778|
650|NCT00089791|
651|NCT00089843|
652|NCT00089895|
653|NCT00089999|
654|NCT00090051|
655|NCT00090103|
656|NCT00090142|
657|NCT00090220|
658|NCT00090233|
659|NCT00090259|
660|NCT00090285|
661|NCT00090363|
662|NCT00090402|
663|NCT00090493|
664|NCT00090545|
665|NCT00090584|
666|NCT00090610|
667|NCT00090753|
668|NCT00090779|
669|NCT00090844|
670|NCT00090987|
671|NCT00091026|Four patients who never received treatment are excluded.
672|NCT00091273|
673|NCT00091442|
674|NCT00091507|
675|NCT00091572|
676|NCT00091793|
677|NCT00091819|
678|NCT00091832|
679|NCT00092118|
680|NCT00092131|
681|NCT00092417|
682|NCT00092443|
683|NCT00092456|
532|NCT00165776|After randomized to the treatment groups, 3 patients (2 of the placebo group and 1 of the 5000U group) had no treatment. The reason was that 2 of them requested withdrawal from the study and 1 ceased to return for visits.
533|NCT00165841|
534|NCT00165958|
535|NCT00165984|
536|NCT00166036|
537|NCT00166205|
538|NCT00166296|
539|NCT00166361|
540|NCT00166504|
541|NCT00166517|
542|NCT00167102|
543|NCT00167206|
544|NCT00167245|
545|NCT00167544|
546|NCT00167778|
547|NCT00168038|
548|NCT00168064|
549|NCT00078715|
550|NCT00078728|
551|NCT00079040|
552|NCT00079326|
553|NCT00079339|
554|NCT00079391|
555|NCT00079417|
556|NCT00079677|
557|NCT00079781|Date of birth was not provided for 5 subjects (4 in the Open Label Group and 1 in the Treatment Group), therefore baseline characteristics calculations requiring age/DOB were derived using an N = 60.
794|NCT00146770|
795|NCT00146848|
796|NCT00147199|
797|NCT00147212|
798|NCT00147225|Cycle 1, Chemotherapy alone (Control Cycle); Beginning Cycle 2, Chemotherapy followed by AMG 531 subcutaneously of 21-28 day treatment cycle.  There were 51 participants who received at least one dose of the study drug.
799|NCT00147238|
800|NCT00147277|
801|NCT00147290|
802|NCT00147316|
803|NCT00147446|
804|NCT00147498|
805|NCT00147537|
806|NCT00147745|
807|NCT00147966|
808|NCT00148109|
809|NCT00148122|Although 40 patients were enrolled, 2 patients withdrew consent after treatment started, therefore only 38 were included in baseline analysis.
810|NCT00148668|
811|NCT00148759|
812|NCT00148798|
813|NCT00148954|
814|NCT00149214|
815|NCT00149227|
816|NCT00149630|
483|NCT00097981|
484|NCT00098059|
485|NCT00098254|
486|NCT00098293|
487|NCT00098306|
488|NCT00098345|
489|NCT00098475|
490|NCT00098670|
491|NCT00098722|
492|NCT00098748|
493|NCT00098774|
494|NCT00098787|Eligible and treated patients
495|NCT00098813|
496|NCT00098865|The analysis population represents all enrolled and treated patients.
497|NCT00099021|
498|NCT00099268|
499|NCT00099359|
500|NCT00099437|
501|NCT00099632|
502|NCT00159783|
503|NCT00159822|
504|NCT00159861|
505|NCT00159874|
506|NCT00159913|
507|NCT00159965|
508|NCT00160199|
762|NCT00141817|
763|NCT00142116|
764|NCT00142298|
765|NCT00142818|
766|NCT00142909|
767|NCT00142935|
768|NCT00143247|
769|NCT00143312|
770|NCT00143390|
771|NCT00143403|
772|NCT00143455|
773|NCT00143598|806 patients were randomly assigned to an intervention. Three patients were identified as ineligible soon after randomization and were excluded from further analysis (ie, modified intention-to-treat). In the active ECS group, one patient had no DVT and in the placebo ECS group one patient had a previous DVT and another patient was moribund.
774|NCT00143845|54 patients were enrolled however 9 patients did not receive planned donor lymphocyte infusion.  45 patients were analyzed.
775|NCT00144170|
776|NCT00144300|
777|NCT00144339|
778|NCT00144781|
779|NCT00144963|
780|NCT00145041|
781|NCT00145119|Survivors of an acute Myocardial Infarction (AMI) with impaired left ventricular ejection fraction
782|NCT00145249|
783|NCT00145327|
784|NCT00145418|
785|NCT00145496|
786|NCT00145509|
787|NCT00145574|
788|NCT00145587|
789|NCT00145600|
790|NCT00145704|
791|NCT00145795|
792|NCT00146328|
793|NCT00146757|
997|NCT00132496|
998|NCT00132678|
999|NCT00132691|
1000|NCT00132730|
1001|NCT00132769|
1002|NCT00132808|
1003|NCT00132873|
1004|NCT00133575|
1005|NCT00133705|
1006|NCT00133978|Five randomized patients were not evaluable because we could not ascertain their 28-day vital status leaving 1218 patients in the final intention-to-treat analysis.
1007|NCT00134043|
1008|NCT00134563|
1009|NCT00134719|
1010|NCT00134784|
1011|NCT00134901|
1012|NCT00135330|
1013|NCT00135356|
1014|NCT00135798|
1015|NCT00136084|
1016|NCT00136318|
1017|NCT00136760|
1018|NCT00136916|
1019|NCT00136955|
1020|NCT00137046|
1021|NCT00137111|
1022|NCT00137423|
1023|NCT00137436|
1024|NCT00137449|
1025|NCT00168428|
1026|NCT00168454|
823|NCT00150345|
824|NCT00150592|
825|NCT00150618|
826|NCT00150969|
827|NCT00151372|
828|NCT00151411|
829|NCT00151476|
830|NCT00151775|
831|NCT00151814|
832|NCT00151892|
833|NCT00151996|
834|NCT00152009|
835|NCT00152516|
836|NCT00152763|
837|NCT00152971|
838|NCT00153062|
839|NCT00153101|The Full Analysis Set (FAS) followed the intent-to-treat principle; it included all patients who were randomised and had any follow-up information available (i.e. 'date last seen' was available for these patients).
840|NCT00153179|
841|NCT00153985|
842|NCT00154102|
843|NCT00168103|
844|NCT00168298|
845|NCT00114634|
846|NCT00114972|
847|NCT00115063|
848|NCT00115349|
849|NCT00115739|11 patients with Anaplastic thyroid cancer were enrolled and were started on imatinib.
850|NCT00115765|
851|NCT00115804|
852|NCT00115869|
853|NCT00115934|
854|NCT00116168|
855|NCT00116428|
856|NCT00116649|
857|NCT00116688|
858|NCT00116753|
859|NCT00116779|
860|NCT00116805|
861|NCT00116831|
684|NCT00092495|
685|NCT00092521|
686|NCT00092534|
687|NCT00092547|
688|NCT00092677|
689|NCT00093015|
690|NCT00093041|
691|NCT00093145|
692|NCT00093379|
693|NCT00093496|
694|NCT00094055|
695|NCT00094094|
696|NCT00094107|
697|NCT00094172|
698|NCT00094328|
699|NCT00094458|
700|NCT00094575|
701|NCT00094653|
702|NCT00094757|
703|NCT00094770|
704|NCT00094809|
705|NCT00094835|The analysis is based on the Safety Analysis Set which consists of all consented participants who received at least one dose of motesanib.
706|NCT00094861|
707|NCT00094887|
708|NCT00094900|
709|NCT00095056|
710|NCT00095121|
711|NCT00095147|
712|NCT00095199|
713|NCT00095212|
714|NCT00095238|
715|NCT00095498|
716|NCT00095576|
717|NCT00095875|
718|NCT00095940|
719|NCT00096018|Treated Patients
720|NCT00096031|
721|NCT00096122|
722|NCT00096174|
723|NCT00096200|
724|NCT00096226|All eligible patients who started protocol treatment.
725|NCT00096265|
726|NCT00096278|
727|NCT00096382|
728|NCT00096460|
729|NCT00096681|
730|NCT00096785|
731|NCT00096954|
732|NCT00097253|
733|NCT00097448|
734|NCT00137631|
735|NCT00137969|
736|NCT00138034|
737|NCT00138073|
738|NCT00138125|
739|NCT00138151|
740|NCT00138203|
741|NCT00138424|
742|NCT00138645|
743|NCT00138658|
744|NCT00138671|
745|NCT00139477|
746|NCT00139659|
747|NCT00139737|
748|NCT00139776|
749|NCT00139997|
750|NCT00140140|
751|NCT00140556|
752|NCT00140842|
753|NCT00141037|
754|NCT00141102|
755|NCT00141219|
756|NCT00141271|
757|NCT00141453|
758|NCT00141726|All patients enrolled that received at least one scheduled dose.
759|NCT00141739|
760|NCT00141765|
761|NCT00141778|
887|NCT00119015|
888|NCT00119158|
889|NCT00119262|
890|NCT00119678|
891|NCT00120042|
892|NCT00120250|Baseline data are unavailable for the 3 participants that did not complete the study, and therefore, the baseline data will only reflect the information of the 24 completed participants, instead of the 27 that began baseline.
893|NCT00120406|
894|NCT00120523|
895|NCT00121134|
896|NCT00121186|
897|NCT00121199|
898|NCT00121472|
899|NCT00121485|
900|NCT00121641|
901|NCT00121667|
902|NCT00121810|
903|NCT00121836|
904|NCT00122187|The population is the number of VAMCs that enrolled in the study.
905|NCT00122369|
906|NCT00122382|
907|NCT00122447|
908|NCT00122460|
909|NCT00122681|
910|NCT00122954|The study was powered to enroll twenty six subjects (13/group), the number needed to see a difference in Hamilton Depression Rating Scale (HDRS) over 3 months. The Montgomery Asberg Rating Scale has good validation with the HDRS and is more sensitive to emotional change than the HDRS.
911|NCT00122980|
912|NCT00123123|
913|NCT00123630|
914|NCT00123643|
915|NCT00123734|
916|NCT00124020|
917|NCT00124072|
918|NCT00124176|
919|NCT00124449|
920|NCT00124579|
921|NCT00124657|
922|NCT00124709|
923|NCT00124735|
924|NCT00124748|
925|NCT00124943|
926|NCT00124982|
927|NCT00125034|
928|NCT00125138|
929|NCT00125164|
930|NCT00125190|
931|NCT00125268|
932|NCT00125515|
933|NCT00125593|
934|NCT00125931|Inpatients with manic symptoms.
935|NCT00125957|
936|NCT00126191|
988|NCT00131456|
989|NCT00131508|
990|NCT00131573|
991|NCT00131664|
992|NCT00131677|400 participants enrolled (200 in San Francisco, 121 in Atlanta, and 79 in Boston). 201 were randomized to TDF and 199 to placebo. Participants were distributed similarly in terms of age, ethnicity, education, no. male partners in previous 3 mo., and no. of unprotected anal sexual contacts within the previous 3 mo.
993|NCT00131885|
994|NCT00132028|
995|NCT00132132|
996|NCT00132314|We used the intention to treat (ITT) population as defined in Milestone 2.
1233|NCT00233064|
1234|NCT00233402|
1235|NCT00233519|
1236|NCT00233987|
1237|NCT00234039|
1238|NCT00234065|
1239|NCT00234078|
1240|NCT00234104|1 Subject of each arm were excluded form the analysis set because emergency codes were lost.
1241|NCT00234832|
1242|NCT00234884|
1243|NCT00235326|
1244|NCT00235391|
1245|NCT00235443|
1246|NCT00235573|
1247|NCT00235716|
1248|NCT00235755|
1249|NCT00235833|
1250|NCT00235872|
1251|NCT00235989|
1252|NCT00236080|
1253|NCT00236184|
1254|NCT00236197|
1255|NCT00236899|
1256|NCT00236938|
1257|NCT00236951|
1258|NCT00236977|
1259|NCT00237042|
1260|NCT00237185|
1261|NCT00237458|
1262|NCT00237666|
1027|NCT00168805|
1028|NCT00168818|
1029|NCT00168831|
1030|NCT00168844|
1031|NCT00170157|
1032|NCT00170846|
1033|NCT00170950|
1034|NCT00171054|
1035|NCT00171210|
1036|NCT00171301|
1037|NCT00171314|
1038|NCT00171340|
1039|NCT00171704|
1040|NCT00171834|
1041|NCT00171873|
1042|NCT00171925|
1043|NCT00172042|
1044|NCT00172185|
1045|NCT00174187|
1046|NCT00174252|
1047|NCT00174265|
1048|NCT00174291|
1049|NCT00174382|
1050|NCT00174447|
1051|NCT00174460|
1052|NCT00174785|
1053|NCT00174915|
1054|NCT00174941|
1055|NCT00174954|
1056|NCT00174967|
1057|NCT00175006|
1058|NCT00175019|
1059|NCT00175877|Baseline Characteristics refer to the Safety Set (SS). SS consists of all enrolled subjects who received at least 1 dose of study medication.
1060|NCT00176254|
1061|NCT00176306|
1062|NCT00176436|
1063|NCT00176462|
1064|NCT00176488|
937|NCT00126490|18 of the 19 who started treatment were evaluable.  One participant had to withdraw after only one infusion because they fell and broke both wrists.
938|NCT00126503|
939|NCT00126568|
940|NCT00126581|
941|NCT00126659|
942|NCT00126776|
943|NCT00127036|
944|NCT00127101|
945|NCT00127166|
946|NCT00127192|
947|NCT00127530|
948|NCT00127712|
949|NCT00127790|
950|NCT00127803|
951|NCT00127842|
952|NCT00127855|
953|NCT00127933|
954|NCT00128180|
955|NCT00128193|
956|NCT00128206|
957|NCT00128219|
958|NCT00128401|The baseline mean and SD for CGI outcome measure was captured for 42 subjects only. The baseline mean and SD for LSAS outcome measure was captured for 40 subjects. Only 39 subjects were randomized.
959|NCT00128492|
960|NCT00128661|
961|NCT00128713|
962|NCT00128830|
963|NCT00128921|
964|NCT00129116|
965|NCT00129129|
966|NCT00129220|
967|NCT00129246|
968|NCT00129259|Intent-to-treat
969|NCT00129311|
970|NCT00129402|
971|NCT00129441|
972|NCT00129467|The number of baseline participants is the number of subjects who received the intervention
973|NCT00129753|
974|NCT00129766|
975|NCT00129961|
976|NCT00130039|
977|NCT00130247|
978|NCT00130286|
979|NCT00130520|
