PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
143|NCT00039741|Overall Study|Recruited at Pediatric AIDS Clinical Trials Group (PACTG) units in the U.S. and Puerto Rico, and Paediatric European Network for Treatment of AIDS (PENTA) units in Argentina, Austria, the Bahamas, Brazil, France, Germany, Italy, Romania, Spain, the United Kingdom and Ireland. Enrollment started 9/25/02 and ended 9/7/05.|Participants were stratified by age (<3 years versus 3+ years), origin (PACTG site or PENTA site), and exposure versus no exposure to antiretroviral therapy perinatally. 266 children were randomized, of whom 3 are excluded from all analyses (2 had consent withdrawn by parents after randomization, 1 was ineligible).
144|NCT00039871|Overall Study||Enrolled 2333; 21 subjects excluded due to Good Clinical Practice (GCP) non-compliance.
145|NCT00040365|Overall Study|This trial accrued 30 participants.|
146|NCT00040664|Overall Study|Cohorts were recruited in parallel. All Age Cohorts were given the same treatment.|The overall study population consisted of 69 participants presented as "Overall Fosamprenavir (FPV)/ritonavir (RTV)" in the Participant Flow section. Furthermore, the Overall FPV/RTV participants are stratified by age cohorts (Arms 2-4).
147|NCT00040937|Induction/PBSC Mobilization|Patients were recruited at participating cooperative group institutions.|None.
148|NCT00040937|Autologous PBSCT|Patients were recruited at participating cooperative group institutions.|None.
149|NCT00040937|Maintenance|Patients were recruited at participating cooperative group institutions.|None.
150|NCT00041067|Overall Study|During the period February 2003 to December 2006, 76 patients were enrolled at 28 SWOG institutions.|
151|NCT00041080|Overall Study|Enrollment began Feb 3, 2003 and completed Jan 30, 2011. All patients were enrolled from GOG member institutions in the United States.|Eligible patients had histologically confirmed ovarian, fallopian tube or primary peritoneal cancer. They had rising CA-125 that exceeded twice the upper-limit of normal, but no radiographic or physical evidence of disease following first-line chemotherapy.
152|NCT00041132|Overall Study||
153|NCT00000575|Overall Study|Between December 1993 and September 1995, 1041 children from 5 through 12 years of age with mild to moderate asthma at eight clinical centers (two HMOs associated with academic or research institutions and six located in specialty practices within academic or research institutions) were enrolled.|Patients were required to stop all asthma medications except as needed albuterol (prednisone could be used for asthma exacerbations) at the close of the second screening visit. Also at this time, patients began keeping a daily diary of asthma signs and symptoms, medications, school absences, and physician contacts.
154|NCT00000620|Overall Study|All participants had established type 2 diabetes and were recruited from 77 clinical centers in the United States (64 sites) and Canada (13 sites). Recruitment occurred in two phases, from January to June 2001 and from February 2003 to October 2005.|Eligible participants provided evidence of ability to routinely monitor capillary blood sugars from written records or electronic downloads from a self-monitoring blood glucose device (SMBG), or (in cases where such records could not be provided) underwent a 2 to 4-week pre-randomization run-in period to evaluate compliance with SMBG monitoring.
155|NCT00001151|Overall Study||
156|NCT00001213|Overall Study||
157|NCT00001566|Overall Study|42 patients were enrolled in this study.|
158|NCT00001586|Overall Study||
159|NCT00001596|Overall Study|Patients were enrolled at the NIH Clinical Center between September 2005 to March 2009.|
160|NCT00001656|Overall Study||
161|NCT00001703|Overall Study|Between 40-60 total patients may be required for this protocol.
Between 2-3 years would be required to enter all necessary patients.|
162|NCT00001723|Overall Study|Accrual for RCT began in 1999 and ended in 2008. All subjects were screened at the NIH Clinical Center.|Most subjects screened but not enrolled (101) did not have an obesity-related comorbid condition (i.e., hypertension or dyslipidemia). 16 met a medical exclusion, and 13 declined participation after undergoing initial evaluation.
163|NCT00001832|Apheresis Period||
164|NCT00001832|Treatment Period||
165|NCT00001941|Overall Study||
166|NCT00001959|Overall Study|21 adults patients were enrolled between 2000-2004 at the clinical center of NIH|
167|NCT00001984|Overall Study|Five patients aged 28-54 years scheduled to receive their first live-donor kidney transplant were enrolled after informed consent for study participation was obtained.|Patients were excluded if they were: HLA identical with their donor; on immunosuppression within 6 months of enrollment; or medically unsuitable for transplantation. Cytomegalovirus negative recipients of cytomegalovirus positive grafts were excluded.
168|NCT00002540|Overall Study|Participants were enrolled between November 1993 and July 2001 at 10 study centers. Recruitment was done for all four outcomes of the study (prostate, lung, colorectal and ovarian).|Participants signed a study informed consent prior to being randomized to a study arm.
169|NCT00002975|Overall Study|Study was activated in February, 1997, which was prior to Roswell Park Cancer Institute (RPCI) putting a system in place to centralize data entry and data management.  Data entry was done by PI's staff.  PI died and left incomplete data, and study was terminated in April, 2009.|
197|NCT00056160|Final Follow-up|Subjects in the Placebo/Dex treatment group did not continue participation beyond the period "Up To Unblinding (07 Jun 2005").  Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".|Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".  Data for the period "Extended Follow-up Cutoff (23 Jul 2008)" subsumes data for the period "Up To Unblinding (07 Jun 2005)".
170|NCT00003138|Step 1|This study was activated on December 9, 1997 and closed on June 1, 2004. A total of 118 patients were enrolled (110 ECOG patients and 8 Canadian Leukemia Study Group [CLSG] patients).|
171|NCT00003138|Step 2 (Cross Over)|This study was activated on December 9, 1997 and closed on June 1, 2004. A total of 118 patients were enrolled (110 ECOG patients and 8 Canadian Leukemia Study Group [CLSG] patients).|
172|NCT00003138|Step 3 (EPO 150 Units/kg and G-CSF)|This study was activated on December 9, 1997 and closed on June 1, 2004. A total of 118 patients were enrolled (110 ECOG patients and 8 Canadian Leukemia Study Group [CLSG] patients).|
173|NCT00048737|Overall Study|Recruitment Period: October 30, 2002 to September 21, 2010.  All participants were recruited at The University of Texas (UT) MD Anderson Cancer Center.|
174|NCT00048893|Overall Study||
175|NCT00048932|Double Blind Period (DB)||1795 enrolled in study and 339 were not randomized due to no longer meeting study criteria (n=214), withdraw of consent (n=83), other reasons (n=32), participant was lost to follow-up (n=5), administrative reason by sponsor (n=2), adverse event (n=2), and poor/non-compliance (n=1). Of 1456 randomized, 15 were not treated.
176|NCT00048932|Open Label Period (OL)||1795 enrolled in study and 339 were not randomized due to no longer meeting study criteria (n=214), withdraw of consent (n=83), other reasons (n=32), participant was lost to follow-up (n=5), administrative reason by sponsor (n=2), adverse event (n=2), and poor/non-compliance (n=1). Of 1456 randomized, 15 were not treated.
177|NCT00049036|Overall Study||
178|NCT00049257|Carboplatin, Paclitaxel|Date of recruitment period: 10/02/2002- 5/25/2006. Types of location: Academic Medical clinics and community medical clinics.  This study has 1 treatment arm; therefore randomization procedures were not utilized and all participants were enrolled to the same treatment regimen.|
179|NCT00049257|Follow-up Period for Survival Status|Date of recruitment period: 10/02/2002- 5/25/2006. Types of location: Academic Medical clinics and community medical clinics.  This study has 1 treatment arm; therefore randomization procedures were not utilized and all participants were enrolled to the same treatment regimen.|
180|NCT00049517|Induction|From December 2002 through November 2008, a total of 657 patients were enrolled in the study.|
181|NCT00049517|Conditioning/Transplant|From December 2002 through November 2008, a total of 657 patients were enrolled in the study.|
182|NCT00049530|Overall Study|This study was activated on September 5, 2003, and patient accrual was terminated on June 15, 2011. A total of 32 patients were enrolled through ECOG member institutions. The study was suspended three times during the accrual period (February 2005, November 2006, January 2009) due to unavailability of ELISA kits to measure fibroblast growth factor.|This study involves a pre-registration and a registration. In the pre-registration phase, plasma samples must be submitted for determinations of b-FGF status by central analysis. Only patients determined to have an elevated b-FGF level (>15 pg/mL) by central review are eligible for registration.
183|NCT00049842|Treatment Phase||
184|NCT00049842|Follow-up Phase||
123|NCT00032591|Follow-up|Recruitment started in August 2003 and ended at the end of May 2006. Participating sites were VA Medical Centers with anticoagulation services with active rosters of more than 400 patients.|A total of 3745 participants were consented and screened. Out of this total, 823 were excluded from the study.  The majority of those excluded is due to participants not doing or passing the competency assessment.
124|NCT00032630|Overall Study|From February 2002 to May 2007, a total of 9663 patients who were scheduled for urgent or elective Coronary Artery Bypass Graft (CABG) were screened for enrollment. Of these, 7460 patients were excluded, mostly because of diffusely diseased or small coronary arteries.  Overall,1099 patients were randomized to on-pump and 1104 randomized to off-pump|
125|NCT00033540|Overall Study||
126|NCT00033657|Neoadjuvant Chemotherapy|E1201 opened to accrual on May 21, 2002 and accrued its first patient on August 15, 2002. A total of 97 patients were accrued from 19 different participating sites.|
127|NCT00033657|Surgical Resection|E1201 opened to accrual on May 21, 2002 and accrued its first patient on August 15, 2002. A total of 97 patients were accrued from 19 different participating sites.|
128|NCT00033657|Adjuvant Chemotherapy|E1201 opened to accrual on May 21, 2002 and accrued its first patient on August 15, 2002. A total of 97 patients were accrued from 19 different participating sites.|
129|NCT00033917|Overall Study|Preterm neonates of 600 - 1250 g birth weight were enrolled between 6 and 12 postnatal hours at Yale New Haven Hospital (New Haven, CT), Maine Medical Center (Portland, ME) and Women and Infants' Hospital (Providence, RI).|Cranial ultrasounds were performed on all study participants between 6 - 12 hours of age for group assignment.  Subjects with major congenital cerebral malformations were excluded.
130|NCT00035555|Overall Study||A total of 230 participants who had undergone transplantation were enrolled
131|NCT00035815|Overall Study|Subjects recruited from 20 medical centers from June 2003 to August 2005.|Patients were randomized and initiated on treatment at the time of enrollment.
132|NCT00035932|Overall Study||571 human immunodeficiency virus (HIV)-infected participants were enrolled; 358 (63%) were randomized to treatment. Of the 213 not randomized, 194 did not meet eligibility criteria; other reasons include duplicate enrollment (4), accrual closed (1), noncompliance (1), serious adverse event (2), patient request (11), missing information (4).
133|NCT00036270|Randomized to Study Treatment||
185|NCT00050011|Overall Study||Overall, 602 participants (301 in the upfront arm and 301 in the delayed-start arm) were randomized. Of these, 600 participants (300 in each arm) were treated. One participant in the upfront arm withdrew before taking any study drug and one participant in the delayed-start arm withdrew for administrative reasons prior to taking any study drug.
186|NCT00050089|Overall Study|A total of 368 participants were enrolled in the trial: 41 in Canada, 39 in the UK and 288 in the US-VA.|339 participants were randomized to factorial design(Canada=41;UK=10;US-VA=288). 29 participants in the UK were enrolled in a protocol-approved option, where they were allowed to select one of the factors and be randomized to the other. All 29 selected the ARDFP vs No ARDFP factor and were randomized to the Standard-ART vs Mega-ART factor.
187|NCT00050167|Overall Study|Recruitment period from November 20, 2002 to July 2, 2008. All recruitment done at UT MD Anderson Cancer Center.|Planned accrual was 930 participants, only 601 were found eligible.
188|NCT00050778|Overall Study||
189|NCT00050960|Overall Study||
190|NCT00050986|Overall Study|Total of 55 participants recruited in between 12/30/2002 and 11/30/2005, all at M. D. Anderson Cancer Center.|5 patients were not evaluated for response because of the following: 1 early, non-treatment related death; 3 withdrew consent; 1 discontinued for intercurrent illness (pneumonia).
191|NCT00051025|Overall Study|This study was recruited at 6 centers in U.S. during the period of 18-May-2000 to 12-May-2001|
192|NCT00051168|Overall Study|Patients were recruited in ophthalmic clinics, academic and civil hospitals from September 24, 2002. Last patient completed the study on March 23, 2009.|
193|NCT00051558|Overall Study||
194|NCT00055497|Overall Study|276 participants were enrolled in the present study from 53 sites in the United States (US), Canada, Poland, Belgium, the Netherlands, and Czech Republic. The first visit in the present study for the first participant was 28 August 2002 and the final visit for the last participant occurred on 12 January 2005.|Study was rollover of NCT00055523; screening done in NCT00055523. At Week 4 of NCT00055497, 55 remitters at Week 0 and Week 4 of Study NCT00055497 were randomized to DB therapy; 204 non-remitters were assigned to OL adalimumab. 17 discontinued before/at Week 4, included in OL group for Participant Flow and AEs because they were not randomized.
195|NCT00056160|Up to Unblinding (07 Jun 2005)|Subjects in the Placebo/Dex treatment group did not continue participation beyond the period "Up To Unblinding (07 Jun 2005").  Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".|Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".  Data for the period "Extended Follow-up Cutoff (23 Jul 2008)" subsumes data for the period "Up To Unblinding (07 Jun 2005)".
196|NCT00056160|Extended Follow-up Cutoff (23 Jul 2008)|Subjects in the Placebo/Dex treatment group did not continue participation beyond the period "Up To Unblinding (07 Jun 2005").  Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".|Only subjects in the CC-5013/Dex treatment group participated in the period "Extended Follow-up Cutoff (23 Jul 2008)".  Data for the period "Extended Follow-up Cutoff (23 Jul 2008)" subsumes data for the period "Up To Unblinding (07 Jun 2005)".
40|NCT00003377|Period II|In Period I 12 patients were treated with weekly cisplatin(30-40 mg/m2) and paclitaxel(30-50 mg/m2) concurrent with extended field radiation. In Period II an additional 17 patients were treated with cisplatin 40 mg/m2 and paclitaxel 40 mg/m2 concurrent with radiation.|All patients received whole pelvic and extended field radiation  at 150 centigray per day for 30 days to the para-aortics, and 180 centigray per day for 25 days to the pelvis.
41|NCT00003590|Overall Study|This study  was activated on November 15, 1998 and closed to accrual on June 1, 2005. This was open to all SWOG institutions with IRB approval.  Eastern Cooperative Oncology Group (ECOG) joined this trial on May 14, 2004.|All registered patients were to have eligibility assessed and sign informed consent prior to registration and receipt of protocol therapy.
42|NCT00003659|Overall Study|Protocol Open to Accrual 09/08/1998 Protocol Closed to Accrual 06/14/2005 Primary Completion Date 05/12/2009 Recruitment Location is the medical clinic|
43|NCT00003782|Overall Study||
44|NCT00003869|Overall Study|Between April 1999 and January 2004, 194 patients were accrued to this study.  This trial was closed to accrual prior to meeting the protocol projected 360 randomized patients due to slow accrual.|186 patients were randomized to either arm
45|NCT00003896|Overall Study||
46|NCT00003907|Overall Study|Participants were recruited from ECOG membership institution between August 6, 1999 and September 15, 2006.|
47|NCT00003910|Step 1|This study accrued 59 patients between July 16, 1999 and March 24, 2009. The study terminated with 59 patients on March 24, 2009 due to slower than expected accrual.|
48|NCT00003910|Step 2|This study accrued 59 patients between July 16, 1999 and March 24, 2009. The study terminated with 59 patients on March 24, 2009 due to slower than expected accrual.|
49|NCT00004143|Overall Study|The protocol was reopened in 2003 for non-malignant conditions only.  Enrollment closed in 2008 due to lack of enrollment.|
97|NCT00062010|Overall Study|Participants were recruited from ECOG member institutions between February 24, 2004 and August 22, 2007.|
98|NCT00051636|Period 1 - Core||172 participants entered period 1; of these, 127 were identified as treatment responders and entered the extended observation period 2.  Responders defined as patient who had ≥75% decrease from baseline in serum alkaline phosphatase (SAP) excess (difference between measured level and midpoint of normal range) or SAP within normal range at 6 months.
99|NCT00051636|Period 2- Extended Observation Period||172 participants entered period 1; of these, 127 were identified as treatment responders and entered the extended observation period 2.  Responders defined as patient who had ≥75% decrease from baseline in serum alkaline phosphatase (SAP) excess (difference between measured level and midpoint of normal range) or SAP within normal range at 6 months.
100|NCT00052962|Overall Study||
101|NCT00053014|Overall Study||
102|NCT00053365|Overall Study|Stage I of the study accrued patients from 6/2/2003 through 10/31/2005. Stage II of the study accrued patients from 1/3/2006 through 4/7/2008.|
103|NCT00053417|Overall Study|Patients with clinically definite MS were recruited at clinics within the US and Canada|2-week placebo run-in
104|NCT00053482|Overall Study|Participants were enrolled from 07 January 2003 to 31 March 2003 in 3 medical centers in the US.|A total of 357 participants who met the inclusion and exclusion criteria were enrolled and vaccinated.
105|NCT00053495|Overall Study|Participants were enrolled from 10 January 2003 to 14 April 2003 in 4 medical centers in the US.|A total of 353 participants who met the inclusion and exclusion criteria were enrolled and vaccinated.
106|NCT00053703|Overall Study|From February 2002 to May 2006, youth were screened at four academic sites: University of North Carolina at Chapel Hill, McLean Hospital and Cambridge Health Alliance at Harvard Medical School, University of Washington, and Case Western Reserve University.|
107|NCT00054275|Overall Study|Patients recruited from University Hospitals and its satellite hospitals from 12/4/2002 through 9/22/2006.|
108|NCT00054327|Overall Study|Thirty-five patients were recruited from local medical clinic from November 2000 through November 2009.One patient relapsed and never received a transplant.|
109|NCT00054639|Overall Study|Recruitment Period: January 07, 2003 to October 01, 2005.  Recruitment was done at UT MD Anderson Cancer Center Clinics.|Two participants enrolled but not assigned were not included in baseline measures. Of the total 48 participants enrolled, 42 were evaluable for response and 46 for toxicity.
110|NCT00054665|Part A||1 patient was deemed ineligible and did not receive any treatment. In addition, per the protocol, patients who require an immediate treatment response for medical reasons will only receive part B of the protocol. This decision will be made by the principal investigator in consultation with the associate investigators (e.g. participants can skip A)
111|NCT00054665|Part B||1 patient was deemed ineligible and did not receive any treatment. In addition, per the protocol, patients who require an immediate treatment response for medical reasons will only receive part B of the protocol. This decision will be made by the principal investigator in consultation with the associate investigators (e.g. participants can skip A)
112|NCT00054717|Overall Study||In the study there were 630 patients entered as stated in the protocol section.  There were 10 patients not treated and are not included within the Participant Flow Module or any other analysis.
